month,variant,n,win_pct,total_$,sharpe,max_dd_$
Apr 2022 — bear continue,ITM 2.5% + target 30%,344,81.1046511627907,73536.39528705862,24.801905308298224,-1044.6883140508871
Jul 2022 — bear bounce,BASELINE,225,90.66666666666666,35393.53553960511,22.95980778169168,-88.5911193173597
Jul 2022 — bear bounce,ITM 1.5% + target 30%,315,82.85714285714286,44772.13256105825,26.283733832416164,0.0
Jul 2022 — bear bounce,ITM 1.5% + target 50%,253,92.4901185770751,49730.79602542191,23.769517795627333,0.0
Jul 2022 — bear bounce,ITM 2% + target 30%,303,81.84818481848185,47175.01925250991,27.40247490612728,0.0
Jul 2022 — bear bounce,ITM 2.5% + target 30%,297,83.5016835016835,50663.817125383765,27.842042457467695,0.0
Oct 2022 — capitulation,BASELINE,243,81.48148148148148,44602.4912207466,11.218603275289915,-3482.336394076112
Oct 2022 — capitulation,ITM 1.5% + target 30%,335,81.19402985074626,47778.95666469328,15.617337783383483,-3888.1534877878476
Oct 2022 — capitulation,ITM 1.5% + target 50%,256,81.25,47531.757023208425,13.221234670890537,-3888.1534877878476
Oct 2022 — capitulation,ITM 2% + target 30%,322,81.36645962732919,49455.54894787924,15.680159861174943,-4023.878889125179
Oct 2022 — capitulation,ITM 2.5% + target 30%,305,82.62295081967214,52129.41374336237,15.467217587770785,-4125.768422102778
Feb 2023 — recovery,BASELINE,195,81.02564102564102,16213.432606911905,11.597695454797035,-898.5308686524568
Feb 2023 — recovery,ITM 1.5% + target 30%,235,89.7872340425532,32927.649591786976,15.371962366907873,-861.2328117043253
Feb 2023 — recovery,ITM 1.5% + target 50%,195,82.56410256410255,22429.91256620807,13.76248913180571,-866.2765883592292
Feb 2023 — recovery,ITM 2% + target 30%,233,89.69957081545064,35675.979074580515,15.771839069237702,-873.3283143212611
Feb 2023 — recovery,ITM 2.5% + target 30%,226,88.93805309734513,36266.16670142293,15.676252300634735,-878.6694986281509
Mar 2023 — SVB,BASELINE,255,79.2156862745098,29337.782416407797,10.458598356667983,-971.460904794345
Mar 2023 — SVB,ITM 1.5% + target 30%,356,76.40449438202246,41579.2653319579,12.901223963111812,-1080.485043038534
Mar 2023 — SVB,ITM 1.5% + target 50%,296,82.43243243243244,43311.98362410902,12.569299873080906,-1080.485043038534
Mar 2023 — SVB,ITM 2% + target 30%,342,76.90058479532163,44568.284180588,13.401848070939131,-1105.2650953788216
Mar 2023 — SVB,ITM 2.5% + target 30%,338,79.28994082840237,50246.02774343564,13.631424484450212,-1126.9264512049704
