entry_ts,exit_ts,side,side_opt,qty,strike,spot_at_entry,spot_at_exit,entry_premium,exit_premium,vix_at_entry,pnl_dollars,pnl_dollars_gross,pnl_bps_gross,pnl_bps_net,reason,hold_min,p_up,p_dn
2026-04-01 19:46:00+00:00,2026-04-01 19:47:00+00:00,long,call,3,656,655.98,655.97,0.7586277464617979,0.7256374943720516,24.540000915527344,-12.123473488174653,-9.897075626923879,-434.86745961522183,-532.6931223171457,theta_protect,1,0.6251649029375983,0.3344020382043918
2026-04-01 19:47:00+00:00,2026-04-01 19:49:00+00:00,long,call,4,656,655.97,655.97,0.7256374943720516,0.6661598222111138,24.540000915527344,-26.57466349754145,-23.79106886437512,-819.6609549842552,-915.562650209334,theta_protect,2,0.6224089947970908,0.34152740958803535
2026-04-01 19:49:00+00:00,2026-04-01 19:50:00+00:00,long,call,4,656,655.97,655.3,0.6661598222111138,0.35778318794939423,24.540000915527344,-125.39853972500885,-123.35065370468783,-4629.168916824759,-4706.023072240636,theta_protect,1,0.6110427711170362,0.3551083204043948
2026-04-01 19:50:00+00:00,2026-04-01 19:51:00+00:00,long,call,3,655,655.3,655.45,0.809740325666894,0.8665775733771852,24.540000915527344,14.53669746452124,17.05117431308736,701.9194414392122,598.4098442320161,theta_protect,1,0.6822132291576448,0.2907624651720725
2026-04-01 19:51:00+00:00,2026-04-01 19:52:00+00:00,long,call,3,655,655.45,655.22,0.8665775733771852,0.6966310854583639,24.540000915527344,-53.32875936389971,-50.98394637564638,-1961.1226177538133,-2051.3170046650444,theta_protect,1,0.6763665857384399,0.2953261486067413
2026-04-01 19:52:00+00:00,2026-04-01 19:53:00+00:00,long,call,4,655,655.22,655.25,0.6966310854583639,0.6766494953492952,24.540000915527344,-10.739197205242817,-7.992636043627499,-286.8317324071379,-385.39757374510225,theta_protect,1,0.6811405706652307,0.28992455974623643
2026-04-01 19:53:00+00:00,2026-04-01 19:54:00+00:00,long,call,4,655,655.25,655.26,0.6766494953492952,0.6428788522687796,24.540000915527344,-16.147313927442383,-13.508257232206233,-499.0862080386647,-596.5907769984714,theta_protect,1,0.6812853817030101,0.2903239726991719
2026-04-01 19:54:00+00:00,2026-04-01 19:55:00+00:00,long,call,4,655,655.26,655.03,0.6428788522687796,0.4733135417465064,24.540000915527344,-70.05850899693985,-67.82612420890928,-2637.5935360738863,-2724.405568393517,theta_protect,1,0.6970122160307585,0.2735226831871308
2026-04-02 13:35:00+00:00,2026-04-02 14:35:00+00:00,long,call,1,646,646.21,653.695,4.014636596948151,8.731230188079053,23.8700008392334,465.28642572057663,471.6593591130902,11748.494483202703,11589.75201078669,target,60,0.6921949329888942,0.23023775173000796
2026-04-02 15:07:00+00:00,2026-04-02 17:49:00+00:00,long,call,1,654,654.13,652.78,3.5105515470935984,1.7298382448656184,23.8700008392334,-180.6915251187776,-178.071330222798,-5072.46020558291,-5147.097904554996,stop,162,0.5871006207941304,0.3403064993014306
2026-04-02 17:49:00+00:00,2026-04-02 18:59:00+00:00,long,call,1,653,652.78,654.44,2.180548575887542,2.3878537558802577,23.8700008392334,18.44631683338767,20.73051799927157,950.7019576866655,845.9484478982322,theta_protect,70,0.610447534079276,0.2519098346617365
2026-04-02 19:25:00+00:00,2026-04-02 19:26:00+00:00,long,call,2,654,654.33,654.29,1.3536460858474584,1.3148904614943717,23.8700008392334,-10.419661417959162,-7.751124870617332,-286.30544392867256,-384.8739167090292,theta_protect,1,0.5852172991941215,0.2651881602741288
2026-04-02 19:26:00+00:00,2026-04-02 19:27:00+00:00,long,call,2,654,654.29,654.32,1.3148904614943717,1.3139961819807127,23.8700008392334,-2.807742546206896,-0.1788559027318115,-6.801171199026798,-106.76716534303166,theta_protect,1,0.5917432149443287,0.26667639446717206
2026-04-02 19:27:00+00:00,2026-04-02 19:28:00+00:00,long,call,2,654,654.32,654.18,1.3139961819807127,1.221264046765043,23.8700008392334,-21.081687271879673,-18.546427043133917,-705.726062886161,-802.1974325717301,theta_protect,1,0.5929177610326856,0.26679781339564074
2026-04-02 19:28:00+00:00,2026-04-02 19:29:00+00:00,long,call,2,654,654.18,654.41,1.221264046765043,1.3286844266718276,23.8700008392334,18.93412750792004,21.48407598135691,879.583577288843,775.1856594023989,theta_protect,1,0.6126437159514941,0.24486048874259514
2026-04-02 19:29:00+00:00,2026-04-02 19:30:00+00:00,long,call,2,654,654.41,654.49,1.3286844266718276,1.3561418527870046,23.8700008392334,2.806658943576565,5.491485223035397,206.65122254765998,105.61796643492167,theta_protect,1,0.572378507524474,0.28195545502830405
2026-04-02 19:32:00+00:00,2026-04-02 19:33:00+00:00,long,call,2,654,654.285,654.13,1.2046249597616452,1.1028686198656033,23.8700008392334,-22.658761558835636,-20.351267979208387,-844.7138594585995,-940.4902901613065,theta_protect,1,0.6076568808293215,0.25611975150189975
2026-04-02 19:33:00+00:00,2026-04-02 19:34:00+00:00,long,call,2,654,654.13,654.3,1.1028686198656033,1.1745145670166721,23.8700008392334,12.051806243331498,14.329189430213773,649.6326566966763,546.384493413193,theta_protect,1,0.6427879077913063,0.23181275725021336
2026-04-02 19:34:00+00:00,2026-04-02 19:35:00+00:00,long,call,2,654,654.3,654.51,1.1745145670166721,1.2737868136416068,23.8700008392334,17.406147944328666,19.854449324986945,845.2193732862027,740.9932764197716,theta_protect,1,0.6067961683387338,0.26144492105424294
2026-04-02 19:35:00+00:00,2026-04-02 19:36:00+00:00,long,call,3,655,654.51,654.52,0.7717549348715806,0.756149366096281,23.8700008392334,-6.973527084041677,-4.681670632589885,-202.20886281597112,-301.1978185018913,theta_protect,1,0.6209368856793468,0.258438095460932
2026-04-02 19:36:00+00:00,2026-04-02 19:37:00+00:00,long,call,3,655,654.52,654.44,0.756149366096281,0.7026371093731427,23.8700008392334,-18.241856730145628,-16.053677016941492,-707.694261510821,-804.155790203267,theta_protect,1,0.6310872196075091,0.25644008153117
2026-04-02 19:37:00+00:00,2026-04-02 19:38:00+00:00,long,call,2,654,654.44,654.55,1.1931191590612684,1.236794152191635,23.8700008392334,6.305085314820417,8.73499862607332,366.0572609087055,264.22697460416197,theta_protect,1,0.629279923408876,0.25210111708181954
2026-04-02 19:38:00+00:00,2026-04-02 19:39:00+00:00,long,call,4,655,654.55,654.75,0.7279107756673966,0.7949105350188006,23.8700008392334,23.75426111918921,26.799903740561604,920.4391745674353,815.8369786945981,theta_protect,1,0.6320660368814617,0.26103837032097
2026-04-02 19:39:00+00:00,2026-04-02 19:41:00+00:00,long,call,3,655,654.75,654.75,0.7949105350188006,0.7504085689604381,23.8700008392334,-15.66856847347762,-13.350589817508762,-559.8361588868617,-657.0369780924274,theta_protect,2,0.6044747117846109,0.29482194475958423
2026-04-02 19:41:00+00:00,2026-04-02 19:42:00+00:00,long,call,3,655,654.75,654.575,0.7504085689604381,0.6505971025691224,23.8700008392334,-32.04494842468904,-29.9434399173947,-1330.094971191324,-1423.4444963353676,theta_protect,1,0.6154700812044088,0.2934445929868659
2026-04-02 19:42:00+00:00,2026-04-02 19:43:00+00:00,long,call,4,655,654.575,654.59,0.6505971025691224,0.6334896416240667,23.8700008392334,-9.411157866408644,-6.8429843780222654,-262.9501557492425,-361.6354049704963,theta_protect,1,0.6443082321624898,0.27172028914626595
2026-04-02 19:43:00+00:00,2026-04-02 19:44:00+00:00,long,call,4,655,654.59,654.37,0.6334896416240667,0.5216489469654562,23.8700008392334,-47.046555040623275,-44.73627786344423,-1765.469982617024,-1856.6426327039387,theta_protect,1,0.6304334197070467,0.28528723322815347
2026-04-02 19:44:00+00:00,2026-04-02 19:45:00+00:00,long,call,3,654,654.37,654.33,0.9962738423236601,0.9483792419782731,23.8700008392334,-17.28535973006902,-14.368380103616119,-480.7373064586344,-578.3336199263413,theta_protect,1,0.6781197056506999,0.2534679164078357
2026-04-02 19:45:00+00:00,2026-04-02 19:46:00+00:00,long,call,3,654,654.33,654.41,0.9483792419782731,0.968924873645733,23.8700008392334,3.2877333268019697,6.163689500237979,216.63940708574282,115.5562100503141,theta_protect,1,0.7247199205755701,0.23738787580613732
2026-04-02 19:46:00+00:00,2026-04-02 19:47:00+00:00,long,call,3,654,654.41,654.6,0.968924873645733,1.0586676012501357,23.8700008392334,23.881429568977012,26.922818281320815,926.209348581707,821.5783018387986,theta_protect,1,0.6872386480363949,0.27240296578826306
2026-04-02 19:47:00+00:00,2026-04-02 19:48:00+00:00,long,call,5,655,654.6,654.54,0.5364371562862971,0.48470145706829726,23.8700008392334,-28.42069614238639,-25.867849608999904,-964.4316880687588,-1059.609529628415,theta_protect,1,0.6677101782075509,0.29254712741191974
